Frame Index,Value,Change Type
0,228.0,
1,226.0,
2,226.0,
3,228.0,
4,234.0,
5,253.0,
6,253.0,
7,255.0,
8,253.0,
9,255.0,
10,255.0,
11,255.0,
12,253.0,
13,255.0,
14,253.0,
15,255.0,
16,253.0,
17,253.0,
18,253.0,
19,253.0,
20,252.0,
21,253.0,
22,252.0,
23,252.0,
24,252.0,
25,252.0,
26,250.0,
27,252.0,
28,252.0,
29,252.0,
30,250.0,
31,250.0,
32,250.0,
33,250.0,
34,250.0,
35,250.0,
36,228.0,
37,2.0,
38,2.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.0,
51,0.0,
52,0.0,
53,0.0,
54,0.0,
55,0.0,
56,0.0,
57,0.0,
58,0.0,
59,0.0,
60,0.0,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.0,
70,0.0,
71,0.0,
72,0.0,
73,0.0,
74,0.0,
75,0.0,
76,0.0,
77,0.0,
78,0.0,
79,0.0,
80,0.0,
81,0.0,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.0,
92,0.0,
93,0.0,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,0.0,
99,2.0,
100,2.0,
101,130.0,up
102,190.0,
103,190.0,
104,190.0,
105,192.0,
106,192.0,
107,192.0,
108,190.0,
109,135.0,down
110,2.0,
111,2.0,
112,2.0,
113,2.0,
114,2.0,
115,2.0,
116,0.0,
117,2.0,
118,123.0,up
119,195.0,
120,195.0,
121,197.0,
122,197.0,
123,197.0,
124,197.0,
125,199.0,
126,199.0,
127,199.0,
128,74.0,down
129,2.0,
130,2.0,
131,2.0,
132,3.0,
133,3.0,
134,3.0,
135,135.0,up
136,205.0,
137,205.0,
138,204.0,
139,204.0,
140,204.0,
141,12.0,down
142,2.0,
143,2.0,
144,2.0,
145,2.0,
