Frame Index,Value,Change Type,State
0,113.0,,
1,113.0,,
2,113.0,,
3,112.0,,
4,112.0,,
5,112.0,,
6,112.0,,
7,112.0,,
8,112.0,,
9,112.0,,
10,112.0,,
11,112.0,,
12,112.0,,
13,112.0,,
14,112.0,,
15,112.0,,
16,112.0,,
17,112.0,,
18,112.0,,
19,112.0,,
20,112.0,,
21,112.0,,
22,112.0,,
23,112.0,,
24,112.0,,
25,112.0,,
26,112.0,,
27,112.0,,
28,112.0,,
29,112.0,,
30,112.0,,
31,112.0,,
32,112.0,,
33,112.0,,
34,112.0,,
35,112.0,,
36,112.0,,
37,112.0,,
38,112.0,,
39,112.0,,
40,112.0,,
41,112.0,,
42,112.0,,
43,112.0,,
44,112.0,,
45,112.0,,
46,112.0,,
47,112.0,,
48,111.0,,
49,111.0,,
50,111.0,,
51,111.0,,
52,111.0,,
53,111.0,,
54,111.0,,
55,111.0,,
56,111.0,,
57,110.0,,0
58,110.0,,
59,109.0,,
60,109.0,,
61,109.0,,
62,109.0,,
63,109.0,,0
64,109.0,,
65,109.0,,
66,109.0,,
67,109.0,,
68,122.0,up,
69,122.0,,1
70,122.0,,
71,122.0,,
72,122.0,,
73,114.0,down,
74,108.0,,
75,108.0,,0
76,108.0,,
77,108.0,,
78,108.0,,
79,108.0,,
80,108.0,,
81,109.0,,0
82,110.0,,
83,109.0,,
84,110.0,,
85,110.0,,
86,110.0,,
87,110.0,,
88,110.0,,
89,110.0,,0
90,110.0,,
91,110.0,,
92,110.0,,
93,109.0,,
94,109.0,,0
95,109.0,,
96,108.0,,
97,111.0,,
98,122.0,up,
99,122.0,,
100,122.0,,
101,122.0,,1
102,122.0,,
103,122.0,,
104,119.0,,
105,108.0,down,
106,108.0,,0
107,108.0,,
108,108.0,,
109,108.0,,
110,108.0,,
111,108.0,,
112,108.0,,
113,108.0,,0
114,108.0,,
115,108.0,,
116,109.0,,
117,122.0,up,
118,122.0,,1
119,122.0,,
120,122.0,,
121,122.0,,
122,122.0,,
123,120.0,,
124,108.0,down,
125,108.0,,
126,109.0,,
127,109.0,,
128,109.0,,
129,109.0,,
130,109.0,,
131,109.0,,
132,109.0,,
133,109.0,,
134,109.0,,
135,109.0,,
136,109.0,,
137,109.0,,
138,119.0,up,
139,123.0,,
140,122.0,,1
141,122.0,,
142,121.0,,
143,121.0,,
144,121.0,,
145,121.0,,
146,121.0,,
147,120.0,,1
148,120.0,,
149,120.0,,
150,120.0,,
151,120.0,,
152,120.0,,
153,120.0,,
154,121.0,,1
155,121.0,,
156,121.0,,
157,120.0,,
158,121.0,,
159,120.0,,1
160,120.0,,
161,120.0,,
162,120.0,,
163,120.0,,
164,120.0,,
165,108.0,down,
166,107.0,,0
167,107.0,,
168,108.0,,
169,108.0,,
170,118.0,up,
171,122.0,,
172,122.0,,1
173,122.0,,
174,122.0,,
175,122.0,,
176,122.0,,
177,113.0,down,
178,108.0,,
179,108.0,,0
180,108.0,,
181,108.0,,
182,114.0,up,
183,122.0,,
184,122.0,,1
185,122.0,,
186,122.0,,
187,121.0,,
188,121.0,,
189,113.0,down,
190,109.0,,
191,108.0,,0
192,109.0,,
193,109.0,,
194,117.0,up,
195,123.0,,
196,123.0,,
197,123.0,,
198,123.0,,1
199,123.0,,
200,124.0,,
201,120.0,down,
202,108.0,,
203,109.0,,0
204,109.0,,
205,108.0,,
206,108.0,,
207,109.0,,
208,109.0,,
209,109.0,,
210,109.0,,
211,109.0,,
212,109.0,,
213,109.0,,
214,109.0,,
215,109.0,,
216,109.0,,
217,109.0,,
218,109.0,,
219,109.0,,
220,109.0,,
221,109.0,,
222,109.0,,
223,120.0,up,
224,123.0,,
225,123.0,,1
226,123.0,,
227,123.0,,
228,119.0,down,
229,108.0,,
230,108.0,,
231,108.0,,
232,108.0,,0
233,108.0,,
234,108.0,,
235,112.0,up,
236,121.0,,
237,121.0,,1
238,121.0,,
239,121.0,,
240,121.0,,
241,120.0,,
242,120.0,,
243,121.0,,
244,121.0,,1
245,121.0,,
246,121.0,,
247,121.0,,
248,107.0,down,
249,107.0,,0
250,107.0,,
251,106.0,,
252,106.0,,
253,106.0,,
254,105.0,,
255,105.0,,
256,104.0,,0
257,104.0,,
258,104.0,,
259,103.0,,
260,117.0,up,
261,118.0,,
262,117.0,,
263,117.0,,1
264,117.0,,
265,118.0,,
266,118.0,,
267,118.0,,
268,118.0,,
269,118.0,,1
270,118.0,,
271,118.0,,
272,118.0,,
273,118.0,,
274,118.0,,
275,118.0,,1
276,118.0,,
277,118.0,,
278,118.0,,
279,113.0,down,
280,103.0,,
281,103.0,,0
282,103.0,,
283,103.0,,
284,103.0,,
285,103.0,,
286,102.0,,
287,102.0,,0
288,102.0,,
289,102.0,,
290,101.0,,
291,101.0,,
292,102.0,,
293,102.0,,
294,103.0,,
295,103.0,,
296,103.0,,
297,102.0,,
298,102.0,,
299,102.0,,
300,102.0,,
301,102.0,,
302,102.0,,
303,102.0,,
304,102.0,,
305,102.0,,
306,117.0,up,
307,116.0,,
308,117.0,,
309,117.0,,1
310,117.0,,
311,116.0,,
312,117.0,,
313,117.0,,
314,117.0,,
315,117.0,,1
316,118.0,,
317,118.0,,
318,118.0,,
319,118.0,,
320,118.0,,
321,118.0,,
322,119.0,,1
323,119.0,,
324,119.0,,
325,119.0,,
326,119.0,,
327,120.0,,
328,121.0,,1
329,121.0,,
330,122.0,,
331,122.0,,
332,119.0,,
333,111.0,down,
334,112.0,,0
335,113.0,,
336,114.0,,
337,114.0,,
338,115.0,,
339,116.0,,
340,116.0,,
341,116.0,,0
342,116.0,,
343,116.0,,
344,118.0,,
345,129.0,up,
346,129.0,,1
347,129.0,,
348,129.0,,
349,129.0,,
350,129.0,,
351,128.0,,
352,116.0,down,
353,116.0,,0
354,116.0,,
355,116.0,,
356,116.0,,
357,127.0,up,
358,129.0,,1
359,129.0,,
360,129.0,,
361,130.0,,
362,130.0,,
363,130.0,,
364,129.0,,
365,129.0,,1
366,129.0,,
367,128.0,,
368,128.0,,
369,117.0,down,
370,112.0,,
371,112.0,,
372,112.0,,0
373,111.0,,
374,111.0,,
375,110.0,,
376,110.0,,
377,110.0,,
378,110.0,,
379,110.0,,
380,110.0,,
381,110.0,,
382,109.0,,
383,109.0,,
384,108.0,,
385,108.0,,
386,108.0,,
387,107.0,,
388,107.0,,
389,106.0,,
390,112.0,up,
391,120.0,,
392,120.0,,
393,119.0,,
394,119.0,,1
395,119.0,,
396,118.0,,
397,118.0,,
398,107.0,down,
399,102.0,,
400,102.0,,0
401,102.0,,
402,102.0,,
403,102.0,,
404,102.0,,
405,101.0,,
406,101.0,,0
407,101.0,,
408,101.0,,
409,100.0,,
410,112.0,up,
411,115.0,,
412,115.0,,1
413,114.0,,
414,114.0,,
415,114.0,,
416,114.0,,
417,115.0,,
418,116.0,,
419,117.0,,1
420,117.0,,
421,117.0,,
422,113.0,down,
423,100.0,,
424,100.0,,0
425,100.0,,
426,100.0,,
427,99.0,,
428,99.0,,
429,99.0,,
430,100.0,,
431,100.0,,0
432,100.0,,
433,101.0,,
434,101.0,,
435,101.0,,
436,101.0,,0
437,101.0,,
438,101.0,,
439,101.0,,
440,101.0,,
441,101.0,,
442,101.0,,
443,101.0,,0
444,101.0,,
445,102.0,,
446,101.0,,
447,101.0,,
448,101.0,,
449,101.0,,
450,101.0,,0
451,100.0,,
452,101.0,,
453,100.0,,
454,100.0,,
455,100.0,,
456,101.0,,
457,101.0,,0
458,101.0,,
459,102.0,,
460,102.0,,
461,102.0,,
462,103.0,,
463,104.0,,
464,104.0,,
465,104.0,,
466,104.0,,
467,104.0,,
468,104.0,,
469,105.0,,
470,105.0,,
471,105.0,,
472,105.0,,
473,105.0,,
474,106.0,,
475,106.0,,
476,107.0,,
477,108.0,,
478,120.0,up,
479,120.0,,1
480,120.0,,
