timestamp,R,G,B,segment
2025-02-05-17-07-02-094,0,0,0,Pause
2025-02-05-17-07-02-110,0,0,0,Pause
2025-02-05-17-07-02-128,0,0,0,Pause
2025-02-05-17-07-02-145,0,0,0,Pause
2025-02-05-17-07-02-163,0,0,0,Pause
2025-02-05-17-07-02-180,0,0,0,Pause
2025-02-05-17-07-02-197,0,0,0,Pause
2025-02-05-17-07-02-215,0,0,0,Pause
2025-02-05-17-07-02-232,0,0,0,Pause
2025-02-05-17-07-02-249,0,0,0,Pause
2025-02-05-17-07-02-267,0,0,0,Pause
2025-02-05-17-07-02-283,0,0,0,Pause
2025-02-05-17-07-02-301,0,0,0,Triangle in green
2025-02-05-17-07-02-318,0,9,0,Triangle in green
2025-02-05-17-07-02-336,0,18,0,Triangle in green
2025-02-05-17-07-02-352,0,27,0,Triangle in green
2025-02-05-17-07-02-371,0,36,0,Triangle in green
2025-02-05-17-07-02-389,0,45,0,Triangle in green
2025-02-05-17-07-02-406,0,54,0,Triangle in green
2025-02-05-17-07-02-423,0,63,0,Triangle in green
2025-02-05-17-07-02-441,0,72,0,Triangle in green
2025-02-05-17-07-02-459,0,81,0,Triangle in green
2025-02-05-17-07-02-477,0,90,0,Triangle in green
2025-02-05-17-07-02-495,0,99,0,Triangle in green
2025-02-05-17-07-02-513,0,108,0,Triangle in green
2025-02-05-17-07-02-531,0,117,0,Triangle in green
2025-02-05-17-07-02-549,0,126,0,Triangle in green
2025-02-05-17-07-02-565,0,135,0,Triangle in green
2025-02-05-17-07-02-583,0,144,0,Triangle in green
2025-02-05-17-07-02-602,0,153,0,Triangle in green
2025-02-05-17-07-02-618,0,162,0,Triangle in green
2025-02-05-17-07-02-636,0,171,0,Triangle in green
2025-02-05-17-07-02-653,0,180,0,Triangle in green
2025-02-05-17-07-02-670,0,189,0,Triangle in green
2025-02-05-17-07-02-688,0,197,0,Triangle in green
2025-02-05-17-07-02-706,0,206,0,Triangle in green
2025-02-05-17-07-02-723,0,215,0,Triangle in green
2025-02-05-17-07-02-741,0,224,0,Triangle in green
2025-02-05-17-07-02-758,0,233,0,Triangle in green
2025-02-05-17-07-02-776,0,242,0,Triangle in green
2025-02-05-17-07-02-793,0,251,0,Triangle in green
2025-02-05-17-07-02-810,0,250,0,Triangle in green
2025-02-05-17-07-02-827,0,241,0,Triangle in green
2025-02-05-17-07-02-845,0,233,0,Triangle in green
2025-02-05-17-07-02-862,0,224,0,Triangle in green
2025-02-05-17-07-02-879,0,215,0,Triangle in green
2025-02-05-17-07-02-897,0,206,0,Triangle in green
2025-02-05-17-07-02-914,0,197,0,Triangle in green
2025-02-05-17-07-02-932,0,188,0,Triangle in green
2025-02-05-17-07-02-950,0,179,0,Triangle in green
2025-02-05-17-07-02-968,0,170,0,Triangle in green
2025-02-05-17-07-02-985,0,161,0,Triangle in green
2025-02-05-17-07-03-003,0,152,0,Triangle in green
2025-02-05-17-07-03-020,0,143,0,Triangle in green
2025-02-05-17-07-03-038,0,134,0,Triangle in green
2025-02-05-17-07-03-055,0,125,0,Triangle in green
2025-02-05-17-07-03-072,0,116,0,Triangle in green
2025-02-05-17-07-03-090,0,107,0,Triangle in green
2025-02-05-17-07-03-108,0,99,0,Triangle in green
2025-02-05-17-07-03-125,0,90,0,Triangle in green
2025-02-05-17-07-03-143,0,81,0,Triangle in green
2025-02-05-17-07-03-159,0,72,0,Triangle in green
2025-02-05-17-07-03-176,0,63,0,Triangle in green
2025-02-05-17-07-03-195,0,54,0,Triangle in green
2025-02-05-17-07-03-213,0,45,0,Triangle in green
2025-02-05-17-07-03-231,0,36,0,Triangle in green
2025-02-05-17-07-03-247,0,27,0,Triangle in green
2025-02-05-17-07-03-265,0,18,0,Triangle in green
2025-02-05-17-07-03-282,0,9,0,Triangle in green
2025-02-05-17-07-03-300,0,0,0,Triangle in green
2025-02-05-17-07-03-318,0,8,0,Triangle in green
2025-02-05-17-07-03-335,0,17,0,Triangle in green
2025-02-05-17-07-03-352,0,26,0,Triangle in green
2025-02-05-17-07-03-370,0,35,0,Triangle in green
2025-02-05-17-07-03-387,0,44,0,Triangle in green
2025-02-05-17-07-03-404,0,53,0,Triangle in green
2025-02-05-17-07-03-422,0,62,0,Triangle in green
2025-02-05-17-07-03-440,0,71,0,Triangle in green
2025-02-05-17-07-03-457,0,80,0,Triangle in green
2025-02-05-17-07-03-475,0,89,0,Triangle in green
2025-02-05-17-07-03-492,0,98,0,Triangle in green
2025-02-05-17-07-03-509,0,107,0,Triangle in green
2025-02-05-17-07-03-528,0,116,0,Triangle in green
2025-02-05-17-07-03-545,0,125,0,Triangle in green
2025-02-05-17-07-03-563,0,134,0,Triangle in green
