frame_number,timestamp,R,G,B,matched_log_timestamp
248,2025-02-03-16-24-52-767,9,0,0,2025-02-03-16-24-52-767
249,2025-02-03-16-24-52-783,18,0,0,2025-02-03-16-24-52-785
250,2025-02-03-16-24-52-800,27,0,0,2025-02-03-16-24-52-802
251,2025-02-03-16-24-52-817,36,0,0,2025-02-03-16-24-52-821
252,2025-02-03-16-24-52-833,45,0,0,2025-02-03-16-24-52-838
253,2025-02-03-16-24-52-850,54,0,0,2025-02-03-16-24-52-855
254,2025-02-03-16-24-52-867,63,0,0,2025-02-03-16-24-52-872
255,2025-02-03-16-24-52-883,72,0,0,2025-02-03-16-24-52-890
256,2025-02-03-16-24-52-900,81,0,0,2025-02-03-16-24-52-908
257,2025-02-03-16-24-52-917,90,0,0,2025-02-03-16-24-52-925
258,2025-02-03-16-24-52-934,98,0,0,2025-02-03-16-24-52-942
259,2025-02-03-16-24-52-950,98,0,0,2025-02-03-16-24-52-942
260,2025-02-03-16-24-52-967,107,0,0,2025-02-03-16-24-52-959
261,2025-02-03-16-24-52-984,116,0,0,2025-02-03-16-24-52-977
262,2025-02-03-16-24-53-000,125,0,0,2025-02-03-16-24-52-994
263,2025-02-03-16-24-53-017,134,0,0,2025-02-03-16-24-53-012
264,2025-02-03-16-24-53-034,143,0,0,2025-02-03-16-24-53-029
265,2025-02-03-16-24-53-051,152,0,0,2025-02-03-16-24-53-047
266,2025-02-03-16-24-53-067,161,0,0,2025-02-03-16-24-53-064
267,2025-02-03-16-24-53-084,170,0,0,2025-02-03-16-24-53-082
268,2025-02-03-16-24-53-101,179,0,0,2025-02-03-16-24-53-099
269,2025-02-03-16-24-53-117,188,0,0,2025-02-03-16-24-53-117
270,2025-02-03-16-24-53-134,197,0,0,2025-02-03-16-24-53-134
271,2025-02-03-16-24-53-151,206,0,0,2025-02-03-16-24-53-152
272,2025-02-03-16-24-53-167,215,0,0,2025-02-03-16-24-53-169
273,2025-02-03-16-24-53-184,224,0,0,2025-02-03-16-24-53-187
274,2025-02-03-16-24-53-201,233,0,0,2025-02-03-16-24-53-207
275,2025-02-03-16-24-53-218,242,0,0,2025-02-03-16-24-53-223
276,2025-02-03-16-24-53-234,251,0,0,2025-02-03-16-24-53-242
277,2025-02-03-16-24-53-251,250,0,0,2025-02-03-16-24-53-258
278,2025-02-03-16-24-53-268,241,0,0,2025-02-03-16-24-53-276
279,2025-02-03-16-24-53-284,241,0,0,2025-02-03-16-24-53-276
280,2025-02-03-16-24-53-301,232,0,0,2025-02-03-16-24-53-294
281,2025-02-03-16-24-53-318,223,0,0,2025-02-03-16-24-53-310
282,2025-02-03-16-24-53-335,214,0,0,2025-02-03-16-24-53-328
283,2025-02-03-16-24-53-351,205,0,0,2025-02-03-16-24-53-347
284,2025-02-03-16-24-53-368,196,0,0,2025-02-03-16-24-53-365
285,2025-02-03-16-24-53-385,187,0,0,2025-02-03-16-24-53-381
286,2025-02-03-16-24-53-401,178,0,0,2025-02-03-16-24-53-399
287,2025-02-03-16-24-53-418,169,0,0,2025-02-03-16-24-53-417
288,2025-02-03-16-24-53-435,160,0,0,2025-02-03-16-24-53-434
289,2025-02-03-16-24-53-451,151,0,0,2025-02-03-16-24-53-452
290,2025-02-03-16-24-53-468,143,0,0,2025-02-03-16-24-53-470
291,2025-02-03-16-24-53-485,134,0,0,2025-02-03-16-24-53-487
292,2025-02-03-16-24-53-502,125,0,0,2025-02-03-16-24-53-504
293,2025-02-03-16-24-53-518,116,0,0,2025-02-03-16-24-53-521
294,2025-02-03-16-24-53-535,107,0,0,2025-02-03-16-24-53-539
295,2025-02-03-16-24-53-552,98,0,0,2025-02-03-16-24-53-558
296,2025-02-03-16-24-53-568,89,0,0,2025-02-03-16-24-53-575
297,2025-02-03-16-24-53-585,80,0,0,2025-02-03-16-24-53-592
298,2025-02-03-16-24-53-602,71,0,0,2025-02-03-16-24-53-609
299,2025-02-03-16-24-53-619,62,0,0,2025-02-03-16-24-53-627
300,2025-02-03-16-24-53-635,62,0,0,2025-02-03-16-24-53-627
301,2025-02-03-16-24-53-652,53,0,0,2025-02-03-16-24-53-643
302,2025-02-03-16-24-53-669,44,0,0,2025-02-03-16-24-53-662
