frame_number,timestamp
248,2025-02-03-16-24-52-767
249,2025-02-03-16-24-52-783
250,2025-02-03-16-24-52-800
251,2025-02-03-16-24-52-817
252,2025-02-03-16-24-52-833
253,2025-02-03-16-24-52-850
254,2025-02-03-16-24-52-867
255,2025-02-03-16-24-52-883
256,2025-02-03-16-24-52-900
257,2025-02-03-16-24-52-917
258,2025-02-03-16-24-52-934
259,2025-02-03-16-24-52-950
260,2025-02-03-16-24-52-967
261,2025-02-03-16-24-52-984
262,2025-02-03-16-24-53-000
263,2025-02-03-16-24-53-017
264,2025-02-03-16-24-53-034
265,2025-02-03-16-24-53-051
266,2025-02-03-16-24-53-067
267,2025-02-03-16-24-53-084
268,2025-02-03-16-24-53-101
269,2025-02-03-16-24-53-117
270,2025-02-03-16-24-53-134
271,2025-02-03-16-24-53-151
272,2025-02-03-16-24-53-167
273,2025-02-03-16-24-53-184
274,2025-02-03-16-24-53-201
275,2025-02-03-16-24-53-218
276,2025-02-03-16-24-53-234
277,2025-02-03-16-24-53-251
278,2025-02-03-16-24-53-268
279,2025-02-03-16-24-53-284
280,2025-02-03-16-24-53-301
281,2025-02-03-16-24-53-318
282,2025-02-03-16-24-53-335
283,2025-02-03-16-24-53-351
284,2025-02-03-16-24-53-368
285,2025-02-03-16-24-53-385
286,2025-02-03-16-24-53-401
287,2025-02-03-16-24-53-418
288,2025-02-03-16-24-53-435
289,2025-02-03-16-24-53-451
290,2025-02-03-16-24-53-468
291,2025-02-03-16-24-53-485
292,2025-02-03-16-24-53-502
293,2025-02-03-16-24-53-518
294,2025-02-03-16-24-53-535
295,2025-02-03-16-24-53-552
296,2025-02-03-16-24-53-568
297,2025-02-03-16-24-53-585
298,2025-02-03-16-24-53-602
299,2025-02-03-16-24-53-619
300,2025-02-03-16-24-53-635
301,2025-02-03-16-24-53-652
302,2025-02-03-16-24-53-669
303,2025-02-03-16-24-53-685
304,2025-02-03-16-24-53-702
305,2025-02-03-16-24-53-719
306,2025-02-03-16-24-53-735
307,2025-02-03-16-24-53-752
308,2025-02-03-16-24-53-769
309,2025-02-03-16-24-53-786
310,2025-02-03-16-24-53-802
311,2025-02-03-16-24-53-819
312,2025-02-03-16-24-53-836
313,2025-02-03-16-24-53-852
314,2025-02-03-16-24-53-869
315,2025-02-03-16-24-53-886
316,2025-02-03-16-24-53-903
317,2025-02-03-16-24-53-919
318,2025-02-03-16-24-53-936
319,2025-02-03-16-24-53-953
320,2025-02-03-16-24-53-969
321,2025-02-03-16-24-53-986
322,2025-02-03-16-24-54-003
323,2025-02-03-16-24-54-019
324,2025-02-03-16-24-54-036
325,2025-02-03-16-24-54-053
326,2025-02-03-16-24-54-070
327,2025-02-03-16-24-54-086
328,2025-02-03-16-24-54-103
329,2025-02-03-16-24-54-120
330,2025-02-03-16-24-54-136
331,2025-02-03-16-24-54-153
332,2025-02-03-16-24-54-170
333,2025-02-03-16-24-54-186
334,2025-02-03-16-24-54-203
335,2025-02-03-16-24-54-220
336,2025-02-03-16-24-54-237
337,2025-02-03-16-24-54-253
338,2025-02-03-16-24-54-270
339,2025-02-03-16-24-54-287
340,2025-02-03-16-24-54-303
341,2025-02-03-16-24-54-320
342,2025-02-03-16-24-54-337
343,2025-02-03-16-24-54-354
344,2025-02-03-16-24-54-370
345,2025-02-03-16-24-54-387
346,2025-02-03-16-24-54-404
347,2025-02-03-16-24-54-420
348,2025-02-03-16-24-54-437
349,2025-02-03-16-24-54-454
350,2025-02-03-16-24-54-470
351,2025-02-03-16-24-54-487
352,2025-02-03-16-24-54-504
353,2025-02-03-16-24-54-521
354,2025-02-03-16-24-54-537
355,2025-02-03-16-24-54-554
356,2025-02-03-16-24-54-571
357,2025-02-03-16-24-54-587
358,2025-02-03-16-24-54-604
359,2025-02-03-16-24-54-621
360,2025-02-03-16-24-54-638
361,2025-02-03-16-24-54-654
362,2025-02-03-16-24-54-671
363,2025-02-03-16-24-54-688
364,2025-02-03-16-24-54-704
365,2025-02-03-16-24-54-721
366,2025-02-03-16-24-54-738
367,2025-02-03-16-24-54-754
368,2025-02-03-16-24-54-771
369,2025-02-03-16-24-54-788
370,2025-02-03-16-24-54-805
371,2025-02-03-16-24-54-821
372,2025-02-03-16-24-54-838
373,2025-02-03-16-24-54-855
374,2025-02-03-16-24-54-871
375,2025-02-03-16-24-54-888
376,2025-02-03-16-24-54-905
377,2025-02-03-16-24-54-922
378,2025-02-03-16-24-54-938
379,2025-02-03-16-24-54-955
380,2025-02-03-16-24-54-972
381,2025-02-03-16-24-54-988
382,2025-02-03-16-24-55-005
383,2025-02-03-16-24-55-022
384,2025-02-03-16-24-55-038
385,2025-02-03-16-24-55-055
386,2025-02-03-16-24-55-072
387,2025-02-03-16-24-55-089
388,2025-02-03-16-24-55-105
389,2025-02-03-16-24-55-122
390,2025-02-03-16-24-55-139
391,2025-02-03-16-24-55-155
392,2025-02-03-16-24-55-172
393,2025-02-03-16-24-55-189
394,2025-02-03-16-24-55-206
395,2025-02-03-16-24-55-222
396,2025-02-03-16-24-55-239
397,2025-02-03-16-24-55-256
398,2025-02-03-16-24-55-272
399,2025-02-03-16-24-55-289
400,2025-02-03-16-24-55-306
401,2025-02-03-16-24-55-322
402,2025-02-03-16-24-55-339
403,2025-02-03-16-24-55-356
404,2025-02-03-16-24-55-373
405,2025-02-03-16-24-55-389
406,2025-02-03-16-24-55-406
407,2025-02-03-16-24-55-423
408,2025-02-03-16-24-55-439
409,2025-02-03-16-24-55-456
410,2025-02-03-16-24-55-473
411,2025-02-03-16-24-55-490
412,2025-02-03-16-24-55-506
413,2025-02-03-16-24-55-523
414,2025-02-03-16-24-55-540
415,2025-02-03-16-24-55-556
416,2025-02-03-16-24-55-573
417,2025-02-03-16-24-55-590
418,2025-02-03-16-24-55-606
419,2025-02-03-16-24-55-623
420,2025-02-03-16-24-55-640
421,2025-02-03-16-24-55-657
422,2025-02-03-16-24-55-673
423,2025-02-03-16-24-55-690
424,2025-02-03-16-24-55-707
425,2025-02-03-16-24-55-723
426,2025-02-03-16-24-55-740
427,2025-02-03-16-24-55-757
428,2025-02-03-16-24-55-774
429,2025-02-03-16-24-55-790
430,2025-02-03-16-24-55-807
431,2025-02-03-16-24-55-824
432,2025-02-03-16-24-55-840
433,2025-02-03-16-24-55-857
434,2025-02-03-16-24-55-874
435,2025-02-03-16-24-55-890
436,2025-02-03-16-24-55-907
437,2025-02-03-16-24-55-924
438,2025-02-03-16-24-55-941
439,2025-02-03-16-24-55-957
440,2025-02-03-16-24-55-974
441,2025-02-03-16-24-55-991
442,2025-02-03-16-24-56-007
443,2025-02-03-16-24-56-024
444,2025-02-03-16-24-56-041
445,2025-02-03-16-24-56-058
446,2025-02-03-16-24-56-074
447,2025-02-03-16-24-56-091
448,2025-02-03-16-24-56-108
449,2025-02-03-16-24-56-124
450,2025-02-03-16-24-56-141
451,2025-02-03-16-24-56-158
452,2025-02-03-16-24-56-174
